iter	Passed	Remaining
0	3	3970
1	7	3794
2	11	3868
3	14	3542
4	17	3531
5	21	3486
6	24	3490
7	28	3577
8	33	3742
9	35	3537
10	39	3507
11	43	3572
12	47	3581
13	48	3437
14	52	3435
15	55	3433
16	59	3424
17	62	3420
18	65	3406
19	69	3397
20	72	3396
21	76	3398
22	79	3388
23	83	3389
24	87	3397
25	91	3419
26	94	3418
27	98	3407
28	101	3408
29	104	3393
30	108	3387
31	111	3376
32	114	3345
33	118	3355
34	122	3364
35	125	3357
36	128	3355
37	130	3309
38	134	3308
39	137	3310
40	141	3310
41	145	3308
42	148	3314
43	152	3307
44	155	3303
45	159	3297
46	160	3261
47	165	3280
48	169	3280
49	172	3276
50	176	3280
51	179	3278
52	183	3278
53	186	3271
54	190	3268
55	193	3264
56	197	3262
57	200	3260
58	204	3260
59	208	3260
60	211	3260
61	215	3254
62	218	3253
63	222	3253
64	226	3257
65	229	3251
66	232	3234
67	235	3230
68	239	3228
69	242	3225
70	246	3220
71	249	3214
72	252	3210
73	256	3205
74	259	3202
75	263	3199
76	266	3193
77	269	3190
78	273	3185
79	276	3180
80	278	3159
81	281	3155
82	285	3152
83	288	3148
84	291	3142
85	295	3137
86	298	3132
87	301	3128
88	305	3127
89	308	3120
90	311	3115
91	315	3111
92	318	3109
93	322	3105
94	324	3094
95	328	3093
96	332	3091
97	335	3086
98	339	3086
99	342	3080
100	345	3078
101	349	3076
102	352	3074
103	356	3069
104	359	3066
105	363	3062
106	366	3060
107	370	3057
108	373	3055
109	377	3052
110	380	3051
111	384	3045
112	387	3044
113	391	3040
114	395	3041
115	398	3037
116	402	3034
117	405	3031
118	409	3032
119	412	3028
120	416	3027
121	420	3025
122	423	3023
123	427	3017
124	430	3014
125	433	3010
126	437	3008
127	441	3004
128	444	3002
129	448	2998
130	451	2994
131	453	2985
132	457	2981
133	460	2977
134	464	2973
135	467	2969
136	470	2966
137	474	2962
138	477	2958
139	481	2955
140	484	2952
141	489	2958
142	493	2955
143	497	2956
144	500	2952
145	504	2951
146	507	2947
147	511	2945
148	515	2941
149	518	2936
150	521	2930
151	524	2924
152	527	2921
153	530	2913
154	533	2908
155	535	2899
156	539	2894
157	542	2890
158	546	2888
159	549	2885
160	552	2878
161	555	2875
162	558	2869
163	561	2863
164	565	2859
165	567	2852
166	571	2849
167	574	2844
168	577	2840
169	581	2836
170	583	2831
171	587	2827
172	590	2823
173	593	2819
174	596	2814
175	600	2813
176	604	2809
177	607	2804
178	612	2809
179	617	2812
180	622	2815
181	625	2810
182	628	2804
183	639	2837
184	645	2843
185	654	2863
186	665	2894
187	679	2936
188	692	2969
189	702	2995
190	710	3011
191	720	3032
192	723	3025
193	733	3048
194	736	3040
195	744	3053
196	749	3053
197	759	3076
198	766	3084
199	768	3074
200	772	3069
201	781	3085
202	785	3085
203	788	3074
204	791	3068
205	800	3086
206	804	3082
207	816	3109
208	822	3111
209	826	3108
210	829	3101
211	838	3118
212	843	3116
213	850	3123
214	853	3116
215	858	3114
216	861	3108
217	865	3105
218	869	3101
219	875	3104
220	880	3102
221	885	3101
222	890	3103
223	898	3111
224	907	3124
225	913	3128
226	923	3144
227	927	3140
228	931	3137
229	936	3135
230	943	3139
231	958	3174
232	962	3166
233	965	3161
234	968	3153
235	972	3149
236	975	3141
237	978	3134
238	981	3126
239	983	3115
240	989	3115
241	995	3118
242	998	3111
243	1001	3104
244	1005	3098
245	1008	3091
246	1011	3084
247	1015	3078
248	1018	3070
249	1020	3060
250	1023	3054
251	1026	3047
252	1029	3040
253	1033	3035
254	1036	3028
255	1039	3022
256	1043	3016
257	1046	3009
258	1049	3002
259	1050	2990
260	1054	2985
261	1057	2978
262	1060	2971
263	1063	2964
264	1066	2958
265	1069	2952
266	1071	2940
267	1074	2934
268	1077	2928
269	1080	2922
270	1083	2915
271	1086	2908
272	1090	2903
273	1092	2895
274	1096	2890
275	1099	2883
276	1102	2877
277	1106	2872
278	1109	2867
279	1113	2862
280	1116	2855
281	1120	2852
282	1123	2845
283	1126	2841
284	1130	2835
285	1133	2829
286	1136	2823
287	1138	2815
288	1142	2810
289	1145	2804
290	1148	2799
291	1152	2793
292	1154	2785
293	1157	2779
294	1160	2773
295	1163	2768
296	1166	2762
297	1170	2758
298	1173	2752
299	1176	2746
300	1179	2739
301	1182	2733
302	1186	2728
303	1189	2722
304	1192	2717
305	1195	2711
306	1198	2706
307	1201	2700
308	1204	2694
309	1207	2686
310	1210	2681
311	1213	2675
312	1217	2672
313	1220	2667
314	1223	2661
315	1225	2651
316	1228	2646
317	1231	2640
318	1234	2635
319	1235	2626
320	1239	2620
321	1242	2615
322	1245	2610
323	1248	2604
324	1251	2599
325	1254	2594
326	1257	2588
327	1260	2583
328	1263	2577
329	1265	2568
330	1267	2562
331	1270	2556
332	1271	2547
333	1275	2542
334	1278	2536
335	1281	2532
336	1284	2527
337	1287	2522
338	1291	2517
339	1294	2512
